id	title	year	image	lane	connections
1	First Class	1962.1	https://upload.wikimedia.org/wikipedia/en/5/55/X-MenFirstClassMoviePoster.jpg	Earth-10005	2
2	The High Hand #1	1962.0.5	./assets/images/10005/high_hand.webp	Earth-10005	
3	Origins: Wolverine	1979	https://upload.wikimedia.org/wikipedia/en/0/08/X-Men_Origins_Wolverine_theatrical_poster.jpg	Earth-41578	1
4	Apocalypse	1983	https://upload.wikimedia.org/wikipedia/en/0/04/X-Men_-_Apocalypse.jpg	Earth-10005	43
5	Dark Phoenix	1992	https://upload.wikimedia.org/wikipedia/en/9/9e/Dark_Phoenix_%28film%29.png	Earth-10005	4
6	X-Men	2000	https://upload.wikimedia.org/wikipedia/en/8/81/X-MenfilmPoster.jpg	Earth-41578	3
6.1	iconnect special	2001	./assets/images/41578/iconnect_special.webp	Earth-41578	6
6.2	Wolverine	2003.0	./assets/images/41578/wolverine.webp	Earth-41578	6.1
6.2	Nightcrawler	2003.1	./assets/images/41578/nightcrawler.webp	Earth-41578	6.2
7	X2	2003.2	https://upload.wikimedia.org/wikipedia/en/3/3e/X2_poster.jpg	Earth-41578	6.1
8	Fantastic Four	2005	https://upload.wikimedia.org/wikipedia/en/4/4a/Fantastic_Four_poster.jpg	Earth-121698	7
9	The Last Stand	2006	https://upload.wikimedia.org/wikipedia/en/5/5b/X-Men_The_Last_Stand_theatrical_poster.jpg	Earth-41578	7
9.1	Fight the Cure	2006.1	./assets/images/41578/fight_the_cure.webp	Earth-41578	9
10	FF: Silver Surfer	2007	https://upload.wikimedia.org/wikipedia/en/e/e6/Fantastic_Four_2_Poster.jpg	Earth-121698	8
11	The Wolverine	2013	https://upload.wikimedia.org/wikipedia/en/7/74/The_Wolverine_posterUS.jpg	Earth-41578	9.1
12	Fant4stic	2015	https://upload.wikimedia.org/wikipedia/en/f/f4/Fantastic_Four_2015_poster.jpg	Earth-15866	11
13	Deadpool	2016	https://upload.wikimedia.org/wikipedia/en/2/23/Deadpool_%282016_poster%29.png	Earth-10005	5
14	eXposed	2017.01	./assets/images/17372/eXposed.avif	Earth-17372	11
15	rX	2017.02	./assets/images/17372/rX.avif	Earth-17372	14
16	eXodus	2017.03	./assets/images/17372/eXodus.avif	Earth-17372	15
17	eXit strategy	2017.04	./assets/images/17372/eXit_strategy.avif	Earth-17372	16
18	boXed in	2017.05	./assets/images/17372/boXed_in.avif	Earth-17372	17
19	got your siX	2017.06	./assets/images/17372/got_your_siX.avif	Earth-17372	18
20	eXtreme measures	2017.07	./assets/images/17372/eXtreme_measures.avif	Earth-17372	19
21	threat of eXtinction	2017.08	./assets/images/17372/threat_of_eXtinction.avif	Earth-17372	20
22	outfoX	2017.09	./assets/images/17372/outfoX.avif	Earth-17372	21
23	eXploited	2017.10	./assets/images/17372/eXploited.avif	Earth-17372	22
24	3X1	2017.11	./assets/images/17372/3X1.avif	Earth-17372	23
25	eXtraction	2017.12	./assets/images/17372/eXtraction.avif	Earth-17372	24
26	X-roads	2017.13	./assets/images/17372/X-roads.avif	Earth-17372	25
27	eMergence	2018.01	./assets/images/17372/eMergence.avif	Earth-17372	26
28	unMoored	2018.02	./assets/images/17372/unMoored.avif	Earth-17372	27
29	coMplications	2018.03	./assets/images/17372/coMplications.avif	Earth-17372	28
30	outMatched	2018.04	./assets/images/17372/outMatched.avif	Earth-17372	29
31	afterMath	2018.05	./assets/images/17372/afterMath.avif	Earth-17372	30
32	iMprint	2018.06	./assets/images/17372/iMprint.avif	Earth-17372	31
33	no Mercy	2018.07	./assets/images/17372/no_Mercy.avif	Earth-17372	32
34	the dreaM	2018.08	./assets/images/17372/the_dreaM.avif	Earth-17372	33
35	gaMe changer	2018.09	./assets/images/17372/gaMe_changer.avif	Earth-17372	34
36	eneMy of My eneMy	2019.01	./assets/images/17372/eneMy_of_My_eneMy.avif	Earth-17372	35
37	meMento	2019.02	./assets/images/17372/meMento.avif	Earth-17372	36
38	hoMe	2019.03	./assets/images/17372/hoMe.avif	Earth-17372	37
39	teMpted	2019.04	./assets/images/17372/teMpted.avif	Earth-17372	38
40	calaMity	2019.05	./assets/images/17372/calaMity.avif	Earth-17372	39
41	Monsters	2019.06	./assets/images/17372/Monsters.avif	Earth-17372	40
42	oMens	2019.07	./assets/images/17372/oMens.avif	Earth-17372	41
43	Days of Future Past	2023	https://upload.wikimedia.org/wikipedia/en/0/0c/X-Men_Days_of_Future_Past_poster.jpg	Earth-41578	1,11,43
44	Deadpool 2	2018	https://upload.wikimedia.org/wikipedia/en/c/cf/Deadpool_2_poster.jpg	Earth-10005	44
45	Deadpool & Wolverine	2024	https://upload.wikimedia.org/wikipedia/en/4/4c/Deadpool_%26_Wolverine_poster.jpg	Earth-41578	10,44,47
